word,indicativeness
worst,0.0013834512245092
rude,0.0009871364826981026
horrible,0.0009569996427588472
terrible,0.0007904473062522051
bad,0.0006305103591685292
poor,0.00039976838864337285
awful,0.00035167175136448584
worse,0.0003404423715114814
dirty,0.00025903171323834095
last,0.0002518149059284256
unprofessional,0.0002061182934476612
same,0.00019558731935324401
zero,0.00019176305658722548
wrong,0.00016531418195144424
ridiculous,0.00015888479694998412
cold,0.00014608242350724163
entire,0.00014548933641657936
disappointed,0.00014202186730511357
sorry,0.0001397872622621412
sick,0.00013825489571497442
new,0.0001348465064617393
additional,0.00013428486794458212
nasty,0.00012212545174114238
empty,0.00012066522510526673
rebel,0.0001200407151793532
later,0.00011829086379015212
old,0.00011187763230972801
least,0.00010864391856520419
gross,0.00010806023654470413
unacceptable,0.000105191293877639
tasteless,0.00010109748247049904
extra,0.00010093664549977016
fine,0.00010000565288271575
total,9.109447986992989e-05
unfriendly,8.819167837175018e-05
incompetent,8.734307767088624e-05
negative,8.717841153994509e-05
dry,8.671208122034465e-05
filthy,8.541823847229175e-05
crappy,8.47934431965279e-05
shady,8.396522466447764e-05
correct,7.429740641025987e-05
racist,6.748717371181701e-05
unhappy,6.738026004325927e-05
condescending,6.645830852491993e-05
several,6.569830812718687e-05
possible,6.465330902495869e-05
second,6.150109527881581e-05
lousy,5.8071764178237494e-05
dishonest,5.8071764178237494e-05
clear,5.7869112223940736e-05
mad,5.7517100567019906e-05
first,5.6909845277840046e-05
complete,5.4855583403456786e-05
disappointing,5.297030655778277e-05
sad,5.297030655778277e-05
shitty,5.25956469388195e-05
apologetic,5.226169664668838e-05
mediocre,5.118534228147698e-05
due,5.065302675104959e-05
pathetic,5.024670539406907e-05
illegal,5.003647815588376e-05
urgent,4.789431890403621e-05
horrendous,4.478897699145777e-05
stupid,4.476162264819403e-05
multiple,4.3257268570325826e-05
less,4.212032842382797e-05
aware,4.21130655641167e-05
stale,4.1571083051154684e-05
bland,4.150978321508897e-05
rudest,4.147657799578776e-05
initial,4.113085869580576e-05
wet,4.113085869580576e-05
medical,4.099975134626522e-05
responsible,3.9874985114951965e-05
disrespectful,3.9874985114951965e-05
broken,3.972119923749603e-05
unwilling,3.960989989535562e-05
flavorless,3.9598008804055476e-05
obvious,3.911338749576926e-05
corporate,3.83689695788426e-05
homeless,3.745215404438247e-05
constant,3.716492654684568e-05
useless,3.703439218195915e-05
ill,3.651297701605469e-05
serious,3.611314897752235e-05
frustrated,3.5811038273586435e-05
unpleasant,3.579472450467223e-05
defensive,3.506376462587966e-05
extended,3.474997473848812e-05
black,3.336875684059745e-05
online,3.286885788623208e-05
3rd,3.222036838329517e-05
representative,3.194847311345339e-05
suppose,3.194847311345339e-05
next,3.0940122097303126e-05
unethical,3.0807699918609925e-05
sub,3.069129114542694e-05
absolute,3.064641673934919e-05
further,3.048878122027247e-05
arrogant,3.046185764528838e-05
third,3.0255931319264046e-05
persian,2.93925636235131e-05
inedible,2.93925636235131e-05
embarrassing,2.9035882089118747e-05
rubbery,2.858303224990008e-05
single,2.8539573885080542e-05
inept,2.8434320134935826e-05
unsafe,2.8380986468309473e-05
false,2.8322158296269963e-05
past,2.817198156031308e-05
allergic,2.8137244357817914e-05
incorrect,2.8137244357817914e-05
safe,2.766217562251901e-05
ready,2.743738306002027e-05
legal,2.7384732762041017e-05
miserable,2.7172796316826414e-05
dumb,2.6943268595057677e-05
overpriced,2.6837011032550938e-05
severe,2.6837011032550938e-05
long,2.6758247886032386e-05
financial,2.658332340996798e-05
edible,2.645514885298816e-05
beware,2.6406599930237078e-05
pull-up,2.6406599930237078e-05
furious,2.6129755208310784e-05
snarky,2.6129755208310784e-05
late,2.57605628639583e-05
slow,2.5156569644607e-05
final,2.4526091086705095e-05
faster,2.4442343830435647e-05
horrific,2.416858381728737e-05
unhelpful,2.416858381728737e-05
unable,2.4009556805922475e-05
vague,2.3947159452018104e-05
dead,2.3215104818366044e-05
bottom,2.2394488495728886e-05
synthetic,2.2394488495728886e-05
poofy,2.200549994186423e-05
cocky,2.200549994186423e-05
negligent,2.200549994186423e-05
horrid,2.183638114827359e-05
inconsiderate,2.1816695204298137e-05
previous,2.1681153455208743e-05
whole,2.095349900712563e-05
unsanitary,2.077486636138202e-05
unbelievable,2.0716454403810545e-05
current,2.070827100162755e-05
present,2.053345600500366e-05
embarrassed,2.049987567313261e-05
pregnant,2.049987567313261e-05
half,2.0257585393323903e-05
damp,1.9937492557475983e-05
vinyl,1.9937492557475983e-05
dangerous,1.9645635225443744e-05
worthless,1.958141604478898e-05
rotten,1.958141604478898e-05
laughable,1.958141604478898e-05
snotty,1.958141604478898e-05
common,1.9165034452744308e-05
subpar,1.906507825115734e-05
plain,1.8262442345075644e-05
ugly,1.7957846912953187e-05
foreign,1.7905519136793217e-05
shorter,1.7905519136793217e-05
careless,1.7604399953491386e-05
blatant,1.7604399953491386e-05
poorest,1.7604399953491386e-05
irresponsible,1.7604399953491386e-05
kidding,1.7604399953491386e-05
sexual,1.7604399953491386e-05
shoddy,1.753188231293983e-05
blurry,1.753188231293983e-05
unavailable,1.753188231293983e-05
dismissive,1.753188231293983e-05
sarcastic,1.753188231293983e-05
major,1.715430293134803e-05
exact,1.7061780760492325e-05
stressful,1.6807672614351755e-05
nonexistent,1.6735835375262927e-05
electrical,1.6735835375262927e-05
basic,1.6657059270907423e-05
extreme,1.6632077794712942e-05
lazy,1.6310691668380097e-05
white,1.6294960493324138e-05
soggy,1.6294388515844286e-05
unnecessary,1.6277214174422572e-05
female,1.6277214174422572e-05
back,1.6209639999859512e-05
longer,1.6168990125811708e-05
aggressive,1.6136524658397154e-05
2nd,1.5778344709150144e-05
cloudy,1.575649543983986e-05
plastic,1.5745371159130624e-05
original,1.533734500319512e-05
unreliable,1.523092882264419e-05
so-called,1.523092882264419e-05
apathetic,1.523092882264419e-05
lumpy,1.523092882264419e-05
moldy,1.523092882264419e-05
nauseous,1.523092882264419e-05
existent,1.523092882264419e-05
secure,1.523092882264419e-05
deplorable,1.523092882264419e-05
painful,1.5202833028409324e-05
human,1.4678592941994557e-05
upset,1.4678592941994557e-05
raw,1.429151612495004e-05
lukewarm,1.429151612495004e-05
loyal,1.4289898365332294e-05
general,1.4258551653484396e-05
fishy,1.4220928741540226e-05
indifferent,1.4190493234154737e-05
random,1.4182063366680415e-05
actual,1.4168085960823822e-05
greasy,1.4062457925136375e-05
numerous,1.3488448380124193e-05
earlier,1.3317720688163923e-05
angry,1.3317720688163923e-05
rock,1.329166170498399e-05
palatable,1.329166170498399e-05
absent,1.329166170498399e-05
suspicious,1.329166170498399e-05
slower,1.322757442649408e-05
hickory,1.3203299965118539e-05
refundable,1.3203299965118539e-05
perk-cup,1.3203299965118539e-05
stainless,1.3203299965118539e-05
ever.,1.3203299965118539e-05
automative,1.3203299965118539e-05
contracted,1.3203299965118539e-05
liable,1.3203299965118539e-05
accountable,1.3203299965118539e-05
repulsive,1.3203299965118539e-05
chick-fil-a,1.3203299965118539e-05
plastic-like,1.3203299965118539e-05
mush,1.2888147353318067e-05
uneven,1.2888147353318067e-05
metal,1.2888147353318067e-05
clueless,1.2888147353318067e-05
needless,1.2888147353318067e-05
inappropriate,1.2789656526280867e-05
minimum,1.2221171915217824e-05
potential,1.2221171915217824e-05
obnoxious,1.2221171915217824e-05
countless,1.2221171915217824e-05
rough,1.2058885967717978e-05
left,1.18379739450346e-05
uncomfortable,1.1781269811726319e-05
greedy,1.1652034719504672e-05
above,1.152244558231052e-05
inattentive,1.152244558231052e-05
reputable,1.152244558231052e-05
5th,1.152244558231052e-05
gated,1.0908347602149068e-05
untouched,1.0908347602149068e-05
harmful,1.0908347602149068e-05
criminal,1.0908347602149068e-05
tolerant,1.0908347602149068e-05
earliest,1.0908347602149068e-05
deaf,1.0908347602149068e-05
unfinished,1.0908347602149068e-05
underhanded,1.0908347602149068e-05
orthopedic,1.0908347602149068e-05
virgin,1.0908347602149068e-05
insensitive,1.0908347602149068e-05
brassy,1.0908347602149068e-05
such,1.0809349626512469e-05
slimy,1.0757683105598099e-05
spotty,1.0757683105598099e-05
ultimate,1.0757683105598099e-05
low,1.0705441212174114e-05
sticky,1.0647722924860238e-05
electric,1.0365572629205619e-05
fourth,1.0358227201905272e-05
gray,1.0231725221024695e-05
african,1.0231725221024695e-05
grungy,1.0231725221024695e-05
bogus,1.0231725221024695e-05
male,1.013522201893955e-05
blue,9.652148395031752e-06
normal,9.608522718128925e-06
bare,9.332370415938394e-06
monthly,9.332370415938394e-06
atrocious,9.30135267539621e-06
sloppy,9.220725207506336e-06
fluent,9.128244254013672e-06
unanswered,9.128244254013672e-06
ignorant,9.128244254013672e-06
glossy,9.128244254013672e-06
deviled,9.128244254013672e-06
inefficient,9.128244254013672e-06
bald,9.128244254013672e-06
ceramic,8.978923456476593e-06
valid,8.978923456476593e-06
elderly,8.978923456476593e-06
particular,8.91681266099821e-06
upper,8.878480458775948e-06
poopy,8.802199976745693e-06
putrid,8.802199976745693e-06
non-negotiable,8.802199976745693e-06
underaged,8.802199976745693e-06
biracial,8.802199976745693e-06
bullshit,8.802199976745693e-06
drivable,8.802199976745693e-06
charitable,8.802199976745693e-06
mouldy,8.802199976745693e-06
avg,8.802199976745693e-06
uncleaned,8.802199976745693e-06
nerve,8.802199976745693e-06
profitable,8.802199976745693e-06
southpoint,8.802199976745693e-06
abominable,8.802199976745693e-06
blow,8.802199976745693e-06
gulag,8.802199976745693e-06
carnal,8.802199976745693e-06
undamaged,8.802199976745693e-06
sneaky,8.802199976745693e-06
subzero,8.802199976745693e-06
failed,8.802199976745693e-06
swampy,8.802199976745693e-06
lamb-chop,8.802199976745693e-06
just-eat,8.802199976745693e-06
uncaring,8.802199976745693e-06
unaccommodating,8.802199976745693e-06
stagnant,8.802199976745693e-06
itchy,8.802199976745693e-06
grease-laden,8.802199976745693e-06
confused,8.802199976745693e-06
combative,8.802199976745693e-06
neglectful,8.802199976745693e-06
dubious,8.802199976745693e-06
snippy,8.802199976745693e-06
pubic,8.802199976745693e-06
federal,8.802199976745693e-06
earned,8.802199976745693e-06
nastiest,8.802199976745693e-06
livid,8.802199976745693e-06
drinkable,8.802199976745693e-06
dirtiest,8.802199976745693e-06
quoted,8.802199976745693e-06
disturbing,8.802199976745693e-06
annoying,8.802199976745693e-06
non-refundable,8.802199976745693e-06
shittiest,8.802199976745693e-06
cervical,8.802199976745693e-06
argumentative,8.802199976745693e-06
venti,8.802199976745693e-06
verbal,8.802199976745693e-06
drybar,8.802199976745693e-06
continual,8.802199976745693e-06
,depth,8.802199976745693e-06
candid,8.802199976745693e-06
stank,8.802199976745693e-06
25th,8.802199976745693e-06
judgemental,8.802199976745693e-06
nigh,8.802199976745693e-06
once-a-year,8.802199976745693e-06
core,8.802199976745693e-06
ratchett,8.802199976745693e-06
touch-up,8.802199976745693e-06
19th,8.802199976745693e-06
disgusting,8.802199976745693e-06
awful.,8.802199976745693e-06
shocking,8.802199976745693e-06
relish,8.802199976745693e-06
awkward,8.775348260166681e-06
complex,8.558719974075967e-06
premium,8.558719974075967e-06
like,8.511581763890952e-06
visible,8.316038897356471e-06
available,8.180546906895559e-06
instant,8.015849734824874e-06
outrageous,7.872685579565312e-06
callous,7.858254090177499e-06
unremarkable,7.858254090177499e-06
unapologetic,7.67379391576852e-06
tiniest,7.67379391576852e-06
capable,7.67379391576852e-06
uneasy,7.67379391576852e-06
unreal,7.67379391576852e-06
f,7.67379391576852e-06
seperate,7.67379391576852e-06
haired,7.67379391576852e-06
young,7.615565400165524e-06
grey,7.398733715646621e-06
direct,7.398733715646621e-06
older,7.335083076349385e-06
limp,7.1974764093273075e-06
bitter,7.112828556488072e-06
sketchy,7.1070538966625065e-06
pink,7.091031683340208e-06
inconvenient,6.8444853350012216e-06
faulty,6.8444853350012216e-06
apparent,6.8444853350012216e-06
apt,6.8444853350012216e-06
forgivable,6.645830852491995e-06
rust,6.645830852491995e-06
unaware,6.645830852491995e-06
respiratory,6.645830852491995e-06
theirs,6.645830852491995e-06
stupendous,6.645830852491995e-06
continued,6.645830852491995e-06
anticipated,6.645830852491995e-06
must-try,6.645830852491995e-06
defective,6.645830852491995e-06
stupidest,6.645830852491995e-06
dirtier,6.645830852491995e-06
sexist,6.645830852491995e-06
temporary,6.645830852491995e-06
tepid,6.645830852491995e-06
chillin,6.645830852491995e-06
twice,6.645830852491995e-06
moral,6.645830852491995e-06
speechless,6.645830852491995e-06
abhorrent,6.645830852491995e-06
forgiving,6.645830852491995e-06
managerial,6.645830852491995e-06
disgruntled,6.645830852491995e-06
grimy,6.645830852491995e-06
astronomical,6.645830852491995e-06
mealy,6.645830852491995e-06
hostile,6.645830852491995e-06
letdown,6.645830852491995e-06
reddish,6.645830852491995e-06
cruel,6.645830852491995e-06
wannabe,6.645830852491995e-06
surly,6.645830852491995e-06
wierd,6.645830852491995e-06
naan,6.645830852491995e-06
aloof,6.645830852491995e-06
looong,6.645830852491995e-06
unkempt,6.645830852491995e-06
half-hearted,6.645830852491995e-06
non-existent,6.540652024256498e-06
valuable,6.444073676659034e-06
