rank,num_of_sentences,count
0,4,953
1,5,841
2,3,831
3,6,667
4,2,464
5,7,438
6,8,362
7,9,306
8,10,224
9,11,180
10,1,163
11,12,138
12,13,113
13,14,82
14,15,67
15,16,54
16,17,41
17,18,34
18,19,30
19,20,28
20,21,19
21,22,14
22,24,13
23,23,11
24,27,11
25,25,10
26,29,10
27,28,8
28,32,5
29,26,5
30,33,4
31,30,4
32,36,4
33,45,3
34,31,3
35,34,3
36,46,2
37,37,2
38,41,2
39,51,2
40,58,2
41,39,1
42,47,1
43,57,1
44,38,1
45,35,1
46,42,1
