rank,num_of_sentences,count
0,5,124
1,4,123
2,6,123
3,7,102
4,8,96
5,3,96
6,9,84
7,10,71
8,11,69
9,2,59
10,12,50
11,15,41
12,13,40
13,14,38
14,1,37
15,16,26
16,18,23
17,17,21
18,19,14
19,21,14
20,23,14
21,22,13
22,20,13
23,27,11
24,26,10
25,24,8
26,32,7
27,31,6
28,34,5
29,28,5
30,29,5
31,25,5
32,33,3
33,30,2
34,41,2
35,35,1
36,38,1
37,50,1
38,46,1
39,36,1
40,54,1
41,44,1
42,61,1
43,73,1
44,45,1
45,37,1
46,40,1
