rank,num_of_sentences,count
0,5,395
1,4,392
2,3,378
3,6,328
4,7,286
5,8,241
6,2,234
7,9,211
8,10,180
9,11,144
10,12,107
11,13,98
12,14,90
13,15,76
14,1,65
15,16,53
16,17,39
17,18,34
18,19,27
19,20,27
20,21,23
21,22,17
22,26,15
23,23,12
24,29,11
25,24,10
26,25,9
27,28,8
28,27,6
29,30,5
30,41,4
31,39,4
32,33,4
33,36,3
34,32,2
35,53,2
36,34,2
37,37,2
38,45,2
39,42,2
40,40,2
41,52,1
42,43,1
43,31,1
44,35,1
45,48,1
46,54,1
47,71,1
48,49,1
49,38,1
