rank,num_of_sentences,count
0,4,190
1,5,185
2,6,174
3,3,172
4,7,152
5,8,132
6,9,106
7,2,100
8,11,99
9,10,80
10,12,72
11,1,57
12,13,55
13,14,44
14,15,43
15,16,38
16,17,29
17,19,28
18,18,24
19,20,18
20,21,15
21,23,11
22,22,10
23,26,9
24,25,7
25,28,7
26,24,7
27,27,6
28,30,5
29,29,4
30,37,3
31,31,3
32,55,2
33,36,2
34,39,2
35,35,2
36,47,1
37,38,1
38,46,1
39,42,1
40,54,1
41,43,1
42,48,1
43,51,1
44,50,1
45,44,1
46,52,1
