rank,num_of_sentences,count
0,4,219
1,5,201
2,6,189
3,3,183
4,7,178
5,8,165
6,9,130
7,2,122
8,10,120
9,11,105
10,12,86
11,13,71
12,1,67
13,14,52
14,16,50
15,15,43
16,17,40
17,19,32
18,20,28
19,18,26
20,22,21
21,21,20
22,25,19
23,24,17
24,27,16
25,26,14
26,23,13
27,30,10
28,32,9
29,31,6
30,33,6
31,35,5
32,34,5
33,29,4
34,40,4
35,28,4
36,46,3
37,37,3
38,42,3
39,52,3
40,36,2
41,38,2
42,77,1
43,50,1
44,41,1
45,51,1
46,43,1
47,85,1
48,49,1
49,68,1
50,47,1
51,64,1
